BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1cor	7	10	01	τοῖς	01-02	a los	expanded
1cor	7	10	02	δὲ	-	-	missing
1cor	7	10	03	γεγαμηκόσιν	03	casados	direct
1cor	7	10	04	παραγγέλλω	04	instruyo	direct
1cor	7	10	05	οὐκ	05	no	direct
1cor	7	10	06	ἐγὼ	06	yo	direct
1cor	7	10	07	ἀλλὰ	07	sino	direct
1cor	7	10	08	ὁ	08	el	direct
1cor	7	10	09	κύριος	09-10	señor que	expanded
1cor	7	10	10	γυναῖκα	11-12	la mujer	expanded
1cor	7	10	11	ἀπὸ	15	dejar	merged-forward
1cor	7	10	12	ἀνδρὸς	16-17	al marido	expanded
1cor	7	10	13	μὴ	13-14	no debe	expanded
1cor	7	10	14	χωρισθῆναι—	14-15	debe dejar	shared
