BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1cor	3	2	01	γάλα	05	leche	direct
1cor	3	2	02	ὑμᾶς	01	les	direct
1cor	3	2	03	ἐπότισα	02-04	di a beber	expanded
1cor	3	2	04	οὐ	06	no	direct
1cor	3	2	05	βρῶμα	07-08	alimento sólido	expanded
1cor	3	2	06	οὔπω	10-11	todavía no	expanded
1cor	3	2	07	γὰρ	09	porque	direct
1cor	3	2	08	ἐδύνασθε	12-13	podían recibirlo	expanded
1cor	3	2	09	ἀλλʼ	14-15	en verdad	expanded
1cor	3	2	10	οὐδὲ	16-17	ni aun	expanded
1cor	3	2	11	ἔτι	18	ahora	expanded
1cor	3	2	12	νῦν	-	-	missing
1cor	3	2	13	δύνασθε	19	pueden	direct
