BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1cor	6	1	01	τολμᾷ	01-02	se atreve	expanded
1cor	6	1	02	τις	03	alguno	direct
1cor	6	1	03	ὑμῶν	04-05	de ustedes	expanded
1cor	6	1	04	πρᾶγμα	08	algo	direct
1cor	6	1	05	ἔχων	06-07	cuando tiene	expanded
1cor	6	1	06	πρὸς	09	contra	direct
1cor	6	1	07	τὸν	10	su	expanded
1cor	6	1	08	ἕτερον	11	prójimo	direct
1cor	6	1	09	κρίνεσθαι	12-15	a ir a juicio	expanded
1cor	6	1	10	ἐπὶ	16	ante	direct
1cor	6	1	11	τῶν	17	los	direct
1cor	6	1	12	ἀδίκων	18	incrédulos	expanded
1cor	6	1	13	καὶ	19	y	direct
1cor	6	1	14	οὐχὶ	20	no	direct
1cor	6	1	15	ἐπὶ	21	ante	direct
1cor	6	1	16	τῶν	22	los	direct
1cor	6	1	17	ἁγίων	23	santos	direct
