BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1cor	3	4	01	ὅταν	02	cuando	direct
1cor	3	4	02	γὰρ	01	porque	direct
1cor	3	4	03	λέγῃ	04	dice	direct
1cor	3	4	04	τις	03	uno	direct
1cor	3	4	05	ἐγὼ	05	yo	direct
1cor	3	4	06	μέν	-	-	missing
1cor	3	4	07	εἰμι	06	soy	direct
1cor	3	4	08	παύλου	07-08	de pablo	expanded
1cor	3	4	09	ἕτερος	10	otro	direct
1cor	3	4	10	δέ	09	y	direct
1cor	3	4	11	ἐγὼ	11-12	yo soy	expanded
1cor	3	4	12	ἀπολλῶ	13-14	de apolos	expanded
1cor	3	4	13	οὐκ	15	no	direct
1cor	3	4	14	ἄνθρωποί	17-20	como hombres del mundo	expanded
1cor	3	4	15	ἐστε	16	son	direct
