BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1cor	7	3	01	τῇ	07-08	para con	expanded
1cor	7	3	02	γυναικὶ	09-10	su mujer	expanded
1cor	7	3	03	ὁ	02	el	direct
1cor	7	3	04	ἀνὴρ	03	marido	direct
1cor	7	3	05	τὴν	05	su	direct
1cor	7	3	06	ὀφειλὴν	06	deber	direct
1cor	7	3	07	ἀποδιδότω	01,04	que cumpla	expanded
1cor	7	3	08	ὁμοίως	12	igualmente	direct
1cor	7	3	09	δὲ	11	e	direct
1cor	7	3	10	καὶ	11	e	shared
1cor	7	3	11	ἡ	13	la	direct
1cor	7	3	12	γυνὴ	14-16	mujer lo cumpla	expanded
1cor	7	3	13	τῷ	17-18	con el	expanded
1cor	7	3	14	ἀνδρί	19	marido	direct
