BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	3	13	01	τάφος	01	SEPULCRO	direct
romanos	3	13	02	ἀνεῳγμένος	02	ABIERTO	direct
romanos	3	13	03	ὁ	03	ES	direct
romanos	3	13	04	λάρυγξ	04	SU	direct
romanos	3	13	05	αὐτῶν,	05	GARGANTA,	direct
romanos	3	13	06	ταῖς	06	ENGAÑAN	direct
romanos	3	13	07	γλώσσαις	07	DE	direct
romanos	3	13	08	αὐτῶν	08	CONTINUO	direct
romanos	3	13	09	ἐδολιοῦσαν,	09	CON	direct
romanos	3	13	10	ἰὸς	10	SU	direct
romanos	3	13	11	ἀσπίδων	11	LENGUA.	direct
romanos	3	13	12	ὑπὸ	12	VENENO	direct
romanos	3	13	13	τὰ	13	DE	direct
romanos	3	13	14	χείλη	14	SERPIENTES	direct
romanos	3	13	15	αὐτῶν,	15	HAY	direct
