greek_span	nbla_span	count	first_seen	last_seen	alignment_types
πάντες	todos	4	1cor 1:10	1corintios 9:24	direct
πάντες	son todos	4	1corintios 12:29	1corintios 12:29	expanded
παῦλος	pablo	4	1cor 1:1	1cor 3:5	direct
πνεύματι	espíritu	4	1cor 5:3	1corintios 14:15	direct
τίς	quién	4	1cor 2:11	1corintios 14:8	direct
τοὺς	a los que	4	1cor 1:21	1cor 6:4	expanded
τὰ	las cosas	4	1cor 2:14	1corintios 13:11	expanded
τῷ	a	4	1cor 1:4	1corintios 7:34	direct,expanded
χριστοῦ	cristo	4	1cor 1:17	1corintios 11:3	direct
ἀδελφὸς	hermano	4	1cor 5:11	1cor 7:15	direct
ἀλλὰ	sino que	4	1cor 1:27	1corintios 9:27	expanded
ἀλλὰ	pero	4	1cor 3:6	1cor 6:11	direct
ἀνὴρ	el hombre	4	1corintios 11:14	1corintios 11:9	expanded
ἀνὴρ	marido	4	1cor 7:14	1corintios 7:39	direct
ἄνδρα	marido	4	1cor 7:13	1cor 7:2	direct
ἐστε	son	4	1cor 3:17	1cor 3:4	direct
ἔργον	obra	4	1cor 3:13	1cor 3:15	direct
ἤδη	ya	4	1cor 4:8	1cor 6:7	direct
ἵνα	para	4	1cor 1:27	1cor 7:5	direct
ὁ	pero	4	1corintios 12:6	1corintios 7:33	direct
ὑμᾶς	los	4	1cor 1:8	1cor 7:5	direct
ὑπὸ	por	4	1cor 1:11	1corintios 14:24	direct
γάρ	pues	3	1cor 3:19	1cor 5:3	direct
γυναῖκα	mujer	3	1cor 7:16	1corintios 7:27	direct
δέ	y	3	1cor 3:4	1corintios 7:36	direct
διὰ	por	3	1cor 1:1	1cor 4:17	direct
δὲ	el que	3	1corintios 14:3	1corintios 7:37	expanded
θεῷ	dios	3	1cor 1:4	1corintios 14:18	direct
καθὼς	tal como	3	1cor 1:31	1corintios 11:2	expanded
κατὰ	conforme a	3	1cor 1:26	1cor 3:8	expanded
καὶ	y en	3	1corintios 11:18	1corintios 13:9	expanded
καὶ	los que	3	1corintios 7:30	1corintios 7:31	expanded
λέγω	digo	3	1cor 7:12	1cor 7:8	direct
λαλοῦμεν	hablamos	3	1cor 2:13	1cor 2:7	direct
λαλῶν	que habla	3	1corintios 14:13	1corintios 14:4	expanded
μοι	me	3	1cor 3:10	1cor 6:12	direct
μου	mi	3	1cor 1:4	1corintios 14:14	direct
μωρία	necedad	3	1cor 1:18	1cor 3:19	direct
οὐδεὶς	nadie	3	1cor 2:11	1corintios 14:2	direct
οὐχ	no	3	1cor 7:12	1corintios 7:36	direct
πάντα	todas	3	1cor 2:15	1corintios 12:6	direct
παύλου	de pablo	3	1cor 1:12	1cor 3:4	expanded
περὶ	en cuanto a	3	1cor 7:1	1corintios 8:1	expanded
πνεύματος	espíritu	3	1cor 2:10	1corintios 12:7	direct
πολλοὶ	muchos	3	1cor 1:26	1cor 1:26	direct
ποῦ	dónde está	3	1cor 1:20	1cor 1:20	expanded
προφητεύων	profetiza	3	1corintios 11:4	1corintios 14:4	direct
πῶς	cómo	3	1cor 3:10	1corintios 7:34	direct
σώματι	cuerpo	3	1cor 5:3	1cor 6:20	direct
τι	algo	3	1cor 3:7	1corintios 14:35	direct
τις	alguno	3	1cor 3:17	1corintios 7:18	direct
τοῖς	para los	3	1cor 1:18	1cor 6:13	expanded
τοῖς	a los	3	1cor 5:10	1cor 7:8	expanded
τοῦ	de la	3	1cor 1:18	1corintios 11:27	expanded
τὰ	lo	3	1cor 1:27	1cor 1:28	direct
τὰ	lo que	3	1cor 1:28	1cor 2:12	expanded
τὴν	el	3	1cor 1:19	1corintios 14:11	direct,expanded
τὸ	no	3	1corintios 12:14	1corintios 9:1	direct
τὸ	su	3	1cor 5:5	1cor 6:19	expanded
τὸν	a	3	1cor 1:21	1corintios 8:3	direct,expanded
τῆς	de	3	1cor 2:8	1corintios 14:25	direct
τῇ	la	3	1cor 1:21	1cor 6:4	direct
τῇ	el	3	1cor 1:8	1cor 5:5	direct,expanded
τῶν	los	3	1cor 1:11	1cor 6:1	direct
τῷ	y	3	1corintios 11:21	1corintios 14:28	direct
τῷ	al	3	1cor 6:17	1corintios 7:35	direct,expanded
χριστός	cristo	3	1cor 1:13	1corintios 12:12	direct
ἀλλʼ	sin embargo	3	1cor 4:15	1corintios 9:12	expanded
ἀλλʼ	pero	3	1cor 6:12	1corintios 8:6	direct
ἀνδρός	hombre	3	1corintios 11:12	1corintios 11:8	direct
ἀνθρώποις	los hombres	3	1cor 3:21	1corintios 14:2	expanded
ἀπολλῶς	apolos	3	1cor 3:22	1cor 3:6	direct
ἀπὸ	de	3	1cor 1:30	1corintios 7:27	direct
ἀρέσῃ	agradar	3	1corintios 7:32	1corintios 7:34	direct
ἐβάπτισα	bauticé	3	1cor 1:14	1cor 1:16	direct
ἐκ	parte	3	1corintios 12:15	1corintios 13:9	direct
ἐκ	de	3	1cor 5:2	1cor 7:7	direct
ἐκκλησίᾳ	iglesia	3	1cor 1:2	1cor 6:4	direct
ἐν	por medio de	3	1cor 7:14	1corintios 14:6	expanded
ἐξελέξατο	ha escogido	3	1cor 1:27	1cor 1:28	expanded
ἐπὶ	ante	3	1cor 6:1	1cor 6:6	direct
ἐὰν	pero si	3	1corintios 14:24	1corintios 14:30	expanded
ἡμᾶς	nos	3	1cor 4:1	1cor 7:15	direct
ἵνα	a fin de que	3	1cor 5:5	1corintios 12:25	expanded
ὁ	la	3	1cor 1:17	1cor 4:5	direct
ὁ	dios	3	1cor 7:15	1corintios 7:17	direct,merged-forward
ὁ	que	3	1cor 3:7	1corintios 14:5	direct,expanded
ὄνομα	nombre	3	1cor 1:13	1cor 1:2	direct
ὡς	como si	3	1cor 4:18	1corintios 7:30	expanded
ὥστε	así que	3	1cor 3:21	1corintios 11:33	expanded
αἱ	las	2	1corintios 11:16	1corintios 14:34	direct
αὐτοῦ	él	2	1cor 7:12	1corintios 8:3	direct
αὐτόν	lo	2	1cor 2:16	1cor 2:9	direct
αὐτὸ	mismo	2	1cor 1:10	1cor 3:13	direct
αὐτὸς	él	2	1cor 2:15	1cor 3:15	direct
αὐτῷ	él	2	1cor 1:5	1cor 2:11	direct
βασιλείαν	el reino	2	1cor 6:10	1cor 6:9	expanded
βλέπετε	consideren	2	1cor 1:26	1corintios 10:18	direct
γίνεσθε	sean	2	1cor 4:16	1corintios 14:20	direct
γλωσσῶν	de lenguas	2	1corintios 12:10	1corintios 12:28	expanded
γλώσσαις	en lenguas	2	1corintios 12:30	1corintios 14:6	expanded
γλώσσαις	lenguas	2	1corintios 14:18	1corintios 14:39	direct
γνώσει	conocimiento	2	1cor 1:5	1corintios 14:6	direct
γράφω	escribo	2	1cor 4:14	1corintios 14:37	direct
γυναικί	mujer	2	1cor 7:14	1corintios 7:33	direct
γυνὴ	mujer	2	1cor 7:14	1corintios 11:7	direct
γὰρ	si	2	1corintios 14:14	1corintios 9:17	direct
δέ	si	2	1corintios 11:16	1corintios 14:35	direct
δέ	pero	2	1corintios 7:40	1corintios 8:3	direct
διὰ	mediante	2	1cor 1:21	1cor 6:14	direct,expanded
διὰ	por medio	2	1cor 2:10	1cor 4:15	expanded
διὰ	por qué	2	1cor 6:7	1cor 6:7	expanded
δυνάμει	poder	2	1cor 4:20	1cor 5:4	direct
δύο	dos	2	1cor 6:16	1corintios 14:27	direct
δὲ	otro	2	1cor 1:12	1cor 1:12	expanded
δὲ	pero el	2	1corintios 12:4	1corintios 13:13	expanded
εἰ	pero	2	1corintios 11:16	1corintios 11:6	direct
εἰ	pero si	2	1corintios 11:31	1corintios 14:38	expanded
εἰ	sino	2	1cor 2:11	1cor 2:11	merged-forward
εἰμι	soy	2	1cor 1:12	1cor 3:4	direct
εἰς	a	2	1cor 1:9	1cor 4:6	direct
εἰς	solo	2	1corintios 12:13	1corintios 14:36	direct
εἰς	contra	2	1cor 6:18	1corintios 8:12	direct,expanded
εἴτε	si hay	2	1corintios 13:8	1corintios 13:8	expanded
εὐαγγελίου	evangelio	2	1cor 4:15	1corintios 9:14	direct
εὐχαριστῶ	doy gracias	2	1cor 1:4	1corintios 14:18	direct,expanded
ζύμῃ	la levadura	2	1cor 5:8	1cor 5:8	expanded
θεμέλιον	fundamento	2	1cor 3:11	1cor 3:12	direct
θεόν	dios	2	1cor 1:21	1corintios 8:3	direct
καθὼς	como	2	1cor 2:9	1cor 8:2	direct
καλὸν	que es bueno	2	1cor 7:8	1corintios 7:26	expanded
καταισχύνει	deshonra	2	1corintios 11:4	1corintios 11:5	direct
καταισχύνῃ	avergonzar	2	1cor 1:27	1cor 1:27	direct
καὶ	en verdad	2	1cor 1:22	1corintios 11:9	expanded
καὶ	y muchos	2	1corintios 11:30	1corintios 8:5	expanded
καὶ	también ustedes	2	1corintios 14:12	1corintios 14:9	expanded
καὶ	con el	2	1corintios 14:15	1corintios 14:15	expanded
καὶ	y los	2	1corintios 14:29	1corintios 9:5	expanded
καὶ	aun	2	1cor 2:10	1cor 5:7	expanded
καὶ	ni	2	1cor 2:9	1cor 2:9	expanded
καὶ	lo	2	1cor 4:7	1cor 7:11	direct,expanded
κεφαλὴ	cabeza	2	1corintios 11:3	1corintios 11:3	direct
κεφαλὴν	cabeza	2	1corintios 11:4	1corintios 11:5	direct
κληρονομήσουσιν	heredarán	2	1cor 6:10	1cor 6:9	direct
κολλώμενος	se une	2	1cor 6:16	1cor 6:17	expanded
κομᾷ	tiene el cabello largo	2	1corintios 11:14	1corintios 11:15	expanded
κυρίῳ	el señor	2	1cor 1:31	1cor 4:17	expanded
κόσμος	mundo	2	1cor 1:21	1cor 6:2	direct
κύριον	señor	2	1cor 2:8	1cor 6:14	direct
κύριος	señor que	2	1cor 7:10	1corintios 9:14	expanded
λήμψεται	recibirá	2	1cor 3:14	1cor 3:8	direct
λαλεῖ	habla	2	1corintios 14:2	1corintios 14:27	direct
λόγος	palabra	2	1cor 1:18	1corintios 12:8	direct
μαρτύριον	testimonio	2	1cor 1:6	1cor 2:1	direct
με	me	2	1cor 1:17	1cor 4:4	direct
μεριμνᾷ	preocupa	2	1corintios 7:32	1corintios 7:33	direct
μετʼ	con	2	1cor 7:12	1cor 7:13	direct
μηδεὶς	nadie	2	1cor 3:18	1cor 3:21	direct
μισθὸν	recompensa	2	1cor 3:14	1cor 3:8	direct
μὲν	en	2	1corintios 11:18	1corintios 9:24	direct
μὴ	que no anduvieran	2	1cor 5:11	1cor 5:9	expanded
μὴ	de	2	1corintios 7:17	1corintios 9:18	direct
μᾶλλον	mejor	2	1cor 6:7	1cor 6:7	direct
νήπιος	como	2	1corintios 13:11	1corintios 13:11	direct
ναὸς	templo	2	1cor 3:16	1cor 3:17	direct
νοῦν	la mente	2	1cor 2:16	1cor 2:16	expanded
νῦν	ahora	2	1cor 7:14	1corintios 14:6	direct
οἰκεῖν	vivir	2	1cor 7:12	1cor 7:13	direct
οἱ	que	2	1corintios 10:18	1corintios 11:19	direct
οἶδας	sabes	2	1cor 7:16	1cor 7:16	direct
οὐ	el	2	1corintios 13:4	1corintios 13:6	direct
οὐ	no es	2	1cor 6:13	1corintios 13:4	expanded
οὐδέν	nada	2	1corintios 7:19	1corintios 7:19	direct
οὐδὲν	de nada	2	1cor 4:4	1corintios 13:3	expanded
οὐκ	deja	2	1corintios 12:15	1corintios 12:16	direct
οὐκ	tenemos	2	1corintios 9:4	1corintios 9:5	direct
οὕτως	como está	2	1corintios 7:26	1corintios 7:40	expanded
οὖν	por tanto	2	1cor 4:16	1corintios 11:20	expanded
οὖν	pues	2	1cor 3:5	1corintios 7:26	direct
πάντα	pero	2	1corintios 12:11	1corintios 14:40	direct
πάντα	todo	2	1cor 2:10	1cor 3:21	direct
πάντα	todas las cosas	2	1cor 6:12	1cor 6:12	expanded
πάντες	el	2	1corintios 10:1	1corintios 10:3	direct
πάντων	todos	2	1corintios 14:24	1corintios 14:24	direct
πίστις	fe	2	1cor 2:5	1corintios 13:13	direct
παρθένον	hija virgen	2	1corintios 7:36	1corintios 7:38	expanded
παρὰ	por	2	1corintios 12:15	1corintios 12:16	direct
παρὼν	presente	2	1cor 5:3	1cor 5:3	direct
πατρὸς	padre	2	1cor 1:3	1cor 5:1	direct
πολλὰ	muchos	2	1corintios 12:12	1corintios 12:12	direct
ποτήριον	copa	2	1corintios 11:25	1corintios 11:27	direct
ποτίζων	riega	2	1cor 3:7	1cor 3:8	direct
πρὸς	para	2	1cor 6:5	1corintios 12:7	direct
πᾶσιν	todos	2	1cor 1:2	1corintios 12:6	direct
σαρκικοί	carnales	2	1cor 3:3	1cor 3:3	direct
σοφία	sabiduría	2	1cor 1:30	1cor 3:19	direct
σοφίας	de sabiduría	2	1cor 2:1	1cor 2:4	expanded
σοφὸς	sabio	2	1cor 3:10	1cor 3:18	direct
σοφῶν	sabios	2	1cor 1:19	1cor 3:20	direct
συνευδοκεῖ	consiente en	2	1cor 7:12	1cor 7:13	expanded
σώματος	del cuerpo	2	1corintios 12:15	1corintios 12:16	expanded
σώσεις	salvarás	2	1cor 7:16	1cor 7:16	direct
σὺν	con	2	1cor 1:2	1cor 5:4	direct
τέκνα	hijos	2	1cor 4:14	1cor 7:14	direct
τί	por qué	2	1cor 4:7	1cor 5:12	expanded
τί	cómo	2	1cor 7:16	1cor 7:16	direct
ταῖς	en	2	1corintios 14:20	1corintios 7:17	direct
ταῦτα	esto	2	1cor 4:14	1cor 4:6	direct
τε	y	2	1cor 1:30	1cor 4:21	direct
τινες	algunos de ustedes	2	1cor 4:18	1cor 6:11	expanded
τινος	de alguien	2	1cor 3:14	1cor 3:15	expanded
τις	un	2	1cor 7:12	1corintios 14:24	direct
τοὺς	a los	2	1cor 1:27	1cor 3:19	expanded
τοὺς	los	2	1cor 3:20	1corintios 8:12	direct
τοῦ	el	2	1cor 1:10	1cor 4:6	direct
τοῦ	señor	2	1corintios 11:23	1corintios 9:5	direct
τοῦ	parte	2	1corintios 12:15	1corintios 12:16	direct
τοῦ	sobre su	2	1cor 7:4	1cor 7:4	expanded
τοῦτο	pero	2	1corintios 11:17	1corintios 7:29	direct
τοῦτο	hagan esto	2	1corintios 11:24	1corintios 11:25	expanded
τοῦτο	eso	2	1corintios 12:15	1corintios 12:16	direct
τοῦτο	esto	2	1cor 6:6	1corintios 7:35	direct
τὰ	las	2	1cor 2:10	1corintios 14:7	direct
τὰ	los pensamientos	2	1cor 2:11	1cor 2:11	expanded
τὰ	por las cosas	2	1corintios 7:32	1corintios 7:33	expanded
τὰς	los	2	1cor 4:5	1corintios 10:18	direct,expanded
τὰς	las	2	1cor 7:2	1corintios 11:2	direct
τὴν	memoria	2	1corintios 11:24	1corintios 11:25	direct
τὸ	mismo	2	1corintios 10:3	1corintios 12:11	direct
τὸ	que	2	1cor 2:12	1corintios 11:24	direct,expanded
τὸν	el	2	1cor 3:17	1corintios 11:27	direct
τὸν	su	2	1cor 6:1	1cor 7:2	direct,expanded
τῇ	a la	2	1cor 1:2	1cor 7:5	expanded
τῇ	que	2	1cor 1:2	1cor 1:4	expanded
τῶν	que los	2	1cor 1:25	1cor 1:25	expanded
τῷ	mi	2	1corintios 11:25	1corintios 14:19	direct
τῷ	entendimiento	2	1corintios 14:15	1corintios 14:15	direct
τῷ	para el	2	1cor 4:9	1cor 6:13	expanded
τῷ	en	2	1cor 5:3	1cor 5:3	expanded
τῷ	su	2	1cor 6:20	1cor 7:14	direct,expanded
φαγεῖν	comer	2	1corintios 11:20	1corintios 9:4	direct
φυτεύων	planta	2	1cor 3:7	1cor 3:8	direct
φύραμα	masa	2	1cor 5:6	1cor 5:7	direct
χαρίσματα	dones	2	1corintios 12:30	1corintios 12:9	direct
χριστὸς	cristo	2	1cor 1:17	1cor 3:23	direct
ἀγάπη	amor	2	1corintios 13:4	1corintios 13:8	direct
ἀνθρώπων	hombres	2	1cor 1:25	1cor 1:25	direct
ἀνθρώπων	de los hombres	2	1cor 2:5	1corintios 7:23	expanded
ἀποκάλυψιν	revelación	2	1cor 1:7	1corintios 14:26	direct
ἀπολλῶ	de apolos	2	1cor 1:12	1cor 3:4	expanded
ἀπόστολοι	apóstoles	2	1corintios 12:29	1corintios 9:5	direct
ἀπόστολος	apóstol	2	1cor 1:1	1corintios 9:1	direct
ἀπὸ	de parte de	2	1cor 1:3	1cor 4:5	expanded
ἀρχόντων	gobernantes	2	1cor 2:6	1cor 2:8	direct
ἀφιέτω	abandone	2	1cor 7:12	1cor 7:13	direct
ἁγίων	santos	2	1cor 6:1	1corintios 14:33	direct
ἁμαρτάνει	peca	2	1cor 6:18	1corintios 7:36	direct
ἄλλον	otro	2	1cor 1:16	1cor 3:11	direct
ἄλλῳ	a otro	2	1corintios 12:10	1corintios 14:30	expanded
ἄπιστος	no es creyente	2	1cor 7:14	1cor 7:14	expanded
ἄρτον	pan	2	1corintios 11:23	1corintios 11:27	direct
ἐβαπτίσθητε	fueron bautizados	2	1cor 1:13	1cor 1:15	expanded
ἐγενήθημεν	hemos llegado a ser	2	1cor 4:13	1cor 4:9	expanded
ἐκ	ser	2	1corintios 12:15	1corintios 12:16	direct
ἐκκλησίαις	iglesias	2	1corintios 14:33	1corintios 14:34	direct
ἐμὴν	de mí	2	1corintios 11:24	1corintios 11:25	expanded
ἐν	en el cuerpo	2	1corintios 12:18	1corintios 12:25	expanded
ἐν	en el mundo	2	1corintios 14:10	1corintios 8:4	expanded
ἐν	por	2	1cor 4:4	1cor 6:2	expanded
ἐξουσίαν	a	2	1corintios 9:4	1corintios 9:5	direct
ἐξουσιάζει	tiene autoridad	2	1cor 7:4	1cor 7:4	expanded
ἐπαινῶ	los alabo	2	1corintios 11:17	1corintios 11:2	expanded
ἐπεὶ	de otra manera	2	1cor 7:14	1corintios 14:16	expanded
ἐπὶ	a	2	1cor 7:5	1corintios 14:16	direct
ἐσταυρωμένον	crucificado	2	1cor 1:23	1cor 2:2	direct
ἐστε	ustedes son	2	1cor 3:16	1corintios 12:27	expanded
ἐστιν	son	2	1cor 6:15	1cor 7:14	direct
ἐχέτω	tenga	2	1cor 7:2	1cor 7:2	direct
ἑαυτὸν	a sí mismo	2	1cor 3:18	1corintios 14:4	expanded
ἑκάστου	de cada uno	2	1cor 3:13	1cor 3:13	expanded
ἑκάστῳ	cada uno	2	1cor 4:5	1corintios 12:11	expanded
ἑκάστῳ	a cada uno	2	1cor 3:5	1corintios 12:7	expanded
ἓν	miembro	2	1corintios 12:14	1corintios 12:19	direct
ἓν	un	2	1cor 6:16	1cor 6:17	direct
ἔγραψα	escribí	2	1cor 5:11	1cor 5:9	direct
ἔλαβες	recibiste	2	1cor 4:7	1cor 4:7	direct
ἔλθῃ	venga	2	1cor 4:5	1corintios 11:26	direct
ἔξεστιν	son lícitas	2	1cor 6:12	1cor 6:12	expanded
ἔστιν	de	2	1corintios 12:15	1corintios 12:16	direct
ἔχει	tiene	2	1cor 7:12	1corintios 12:12	direct
ἔχομεν	derecho	2	1corintios 9:4	1corintios 9:5	direct
ἕκαστος	cada cual	2	1cor 7:7	1corintios 14:26	expanded
ἕως	hasta	2	1cor 1:8	1cor 4:13	direct
ἡ	no	2	1corintios 13:4	1corintios 7:34	direct
ἡ	se	2	1corintios 7:28	1corintios 7:34	direct
ἡμέρᾳ	día	2	1cor 1:8	1cor 5:5	direct
ἡμεῖς	nosotros somos	2	1cor 4:10	1cor 4:10	expanded
ἡμῖν	nosotros	2	1cor 1:18	1cor 4:6	direct
ἡμῖν	nos	2	1cor 2:10	1cor 2:12	direct
ἢ	en	2	1corintios 14:19	1corintios 14:5	direct
ἢ	que	2	1cor 7:9	1corintios 14:23	direct
ἰδίου	propio	2	1cor 7:4	1cor 7:4	direct
ἴδιον	su propio	2	1cor 3:8	1cor 7:7	expanded
ἴδιον	propio	2	1cor 6:18	1cor 7:2	direct
ἵνα	que	2	1cor 1:10	1cor 4:2	direct
ὀνόματι	nombre	2	1cor 5:4	1cor 6:11	direct
ὁ	cristo	2	1corintios 10:4	1corintios 11:3	direct
ὁ	es	2	1corintios 12:12	1corintios 12:5	direct
ὁ	ha	2	1corintios 12:18	1corintios 12:28	direct
ὁ	el que fue llamado	2	1corintios 7:22	1corintios 7:22	expanded
ὃς	el cual	2	1cor 1:30	1cor 4:5	expanded
ὃς	él	2	1cor 1:8	1cor 4:17	expanded
ὃς	que	2	1cor 6:5	1corintios 11:27	direct
ὄντα	es	2	1cor 1:28	1cor 1:28	direct
ὅλον	todo	2	1corintios 12:17	1corintios 12:17	direct
ὅλως	en efecto	2	1cor 5:1	1cor 6:7	expanded
ὅτι	pues	2	1cor 3:13	1corintios 11:15	direct
ὅτι	no	2	1corintios 12:16	1corintios 8:4	direct
ὑμᾶς	en	2	1corintios 11:2	1corintios 14:5	direct
ὑμᾶς	verlos	2	1cor 4:18	1cor 4:19	direct
ὑπʼ	por	2	1cor 2:15	1corintios 8:3	direct
ὑπὲρ	por	2	1cor 1:13	1corintios 12:25	direct
ὡς	según	2	1cor 3:5	1corintios 7:17	direct
ὥστε	así	2	1corintios 14:22	1corintios 7:38	direct
ὥστε	por tanto	2	1cor 4:5	1cor 5:8	expanded
ᾖ	haya	2	1cor 1:10	1corintios 12:25	direct
1ἄλλῳ	a otro	1	1corintios 12:10	1corintios 12:10	expanded
2ἄλλῳ	y a otro	1	1corintios 12:10	1corintios 12:10	expanded
Τοῖς	a	1	1cor 7:12	1cor 7:12	direct
