BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	13	2	01	ὥστε	01	Por	direct
romanos	13	2	02	ὁ	02	tanto,	direct
romanos	13	2	03	ἀντιτασσόμενος	03	el	direct
romanos	13	2	04	τῇ	06,07	a la	expanded
romanos	13	2	05	ἐξουσίᾳ	08	autoridad,	direct
romanos	13	2	06	τῇ	09,10	a lo	expanded
romanos	13	2	07	τοῦ	11	ordenado	direct
romanos	13	2	08	θεοῦ	12,13	por Dios	expanded
romanos	13	2	09	διαταγῇ	14	se	direct
romanos	13	2	10	ἀνθέστηκεν,	15	ha	direct
romanos	13	2	11	οἱ	18	los	direct
romanos	13	2	12	δὲ	19,20	que se	expanded
romanos	13	2	13	ἀνθεστηκότες	21	han	direct
romanos	13	2	14	ἑαυτοῖς	22	opuesto,	direct
romanos	13	2	15	κρίμα	23	recibirán	direct
romanos	13	2	16	λήμψονται.	24	condenación	direct
